Group,RPN,YRR,YRRS,PRR,NEWYRR,NEWPRR,WP,WPN,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
7,-1,0,0,2,0,-1,39,-1.014185106,5,2,190,2,28,1,5,4,1,0,1,2,4,3,1,2,2,2,1
7,-1,0,0,3.8,0,0.8,69.6,-0.29104275,6,2,191,1,26,1,5,3,1,0,3,3,4,1,2,2,1,1,1
7,-1,0,0,3.8,0,0.8,40.6,-0.247487373,7,2,192,1,24,1,5,3,1,1,1,3,4,3,1,7,1,1,1
7,-1,0,0,3.8,0,0.8,55.8,0.240535118,8,2,193,1,23,1,5,2,1,1,2,2,3,4,1,4,1,1,1
7,-1,0,0,3.8,0,0.8,53.8,0.392078425,9,2,194,1,21,0,1,2,1,1,2,3,3,2,1,4,1,1,1
7,-1,0,0,3.8,0,0.8,44.2,0.388908731,10,2,195,1,24,0,8,7,1,1,1,3,3,4,5,3,1,1,1
8,-1,0,0,2.8,0,-0.2,74.2,0.994396063,1,2,196,2,54,1,1,2,2,2,9,4,4,1,5,1,1,1,1
8,-1,0,0,2.8,0,-0.2,65,0.645497225,2,2,197,2,43,0,1,2,2,4,5,3,1,1,2,2,1,1,1
8,-1,0,0,2.8,0,-0.2,57.6,0.519615243,3,2,198,2,44,1,1,2,2,4,5,3,2,2,5,1,1,1,1
8,-1,0,0,2.8,0,-0.2,60.3,0.928884323,4,2,199,2,41,0,1,2,2,5,5,3,2,2,5,6,1,1,1
8,-1,0,0,2.8,0,-0.2,35.3,0.557831937,5,2,200,2,66,1,1,3,3,1,6,4,2,1,5,1,1,1,1
8,-1,0,0,3.7,0,0.7,96.6,0.635085296,6,2,201,1,42,0,1,2,2,5,6,1,2,1,3,6,1,1,1
8,-1,0,0,3.7,0,0.7,103.1,0.64813836,7,2,202,1,47,1,1,3,2,5,6,3,3,3,3,3,1,1,1
8,-1,0,0,3.7,0,0.7,58.4,1.057142858,8,2,203,1,36,0,1,7,2,4,4,3,4,1,1,3,1,1,1
8,-1,0,0,3.7,0,0.7,43.6,0.800757218,9,2,204,1,37,1,1,7,2,4,4,1,1,5,6,8,1,2,1
8,-1,0,0,3.7,0,0.7,80.9,0.30568684,10,2,205,1,37,0,1,3,2,4,9,4,2,1,5,3,1,2,1
9,1,0,0,3,0,0,74.625,0.641028243,1,2,206,1,29,1,1,3,2,2,3,3,2,1,3,1,2,1,1
